# project_name=keliya solverstep_min=20
t_next,delta_nst,delta_nfe,delta_ncfn,delta_netf,h_last,h_cur
17380400.000000,18,18,0,0,1.0777001759128702,1.0777001759128702
17380420.000000,19,19,0,0,1.0777001759128702,1.0777001759128702
17380440.000000,18,18,0,0,1.0777001759128702,1.0777001759128702
17380460.000000,19,19,0,0,1.0777001759128702,1.0777001759128702
17380480.000000,19,19,0,0,1.0777001759128702,1.0777001759128702
17380500.000000,18,18,0,0,1.0777001759128702,1.0777001759128702
17380520.000000,19,19,0,0,1.0777001759128702,1.0777001759128702
17380540.000000,18,18,0,0,1.0777001759128702,1.0777001759128702
17380560.000000,19,19,0,0,1.0777001759128702,1.0777001759128702
17380580.000000,18,18,0,0,1.0777001759128702,1.0777001759128702
17380600.000000,19,19,0,0,1.0777001759128702,1.0777001759128702
17380620.000000,19,19,0,0,1.0777001759128702,1.0777001759128702
17380640.000000,18,18,0,0,1.0777001759128702,1.0777001759128702
17380660.000000,19,19,0,0,1.0777001759128702,1.0777001759128702
17380680.000000,18,18,0,0,1.0777001759128702,1.0777001759128702
17380700.000000,19,19,0,0,1.0777001759128702,1.0777001759128702
17380720.000000,18,18,0,0,1.0777001759128702,1.0777001759128702
17380740.000000,19,19,0,0,1.0777001759128702,1.0777001759128702
17380760.000000,18,18,0,0,1.0777001759128702,1.0777001759128702
17380780.000000,19,19,0,0,1.0777001759128702,1.0777001759128702
17380800.000000,19,19,0,0,1.0777001759128702,1.0777001759128702
17380820.000000,18,18,0,0,1.0777001759128702,1.0777001759128702
17380840.000000,19,19,0,0,1.0777001759128702,1.0777001759128702
17380860.000000,18,18,0,0,1.0777001759128702,1.0777001759128702
17380880.000000,19,19,0,0,1.0777001759128702,1.0777001759128702
17380900.000000,18,18,0,0,1.0777001759128702,1.0777001759128702
17380920.000000,19,19,0,0,1.0777001759128702,1.0777001759128702
17380940.000000,18,18,0,0,1.0777001759128702,1.0777001759128702
17380960.000000,19,19,0,0,1.0777001759128702,1.0777001759128702
17380980.000000,19,19,0,0,1.0777001759128702,1.0777001759128702
17381000.000000,18,18,0,0,1.0777001759128702,1.0777001759128702
17381020.000000,19,19,0,0,1.0777001759128702,1.0777001759128702
17381040.000000,18,18,0,0,1.0777001759128702,1.0777001759128702
17381060.000000,19,19,0,0,1.0777001759128702,1.0777001759128702
17381080.000000,18,18,0,0,1.0777001759128702,1.0777001759128702
17381100.000000,19,19,0,0,1.0777001759128702,1.0777001759128702
17381120.000000,18,18,0,0,1.0777001759128702,1.0777001759128702
17381140.000000,19,19,0,0,1.0777001759128702,1.0777001759128702
17381160.000000,19,19,0,0,1.0777001759128702,1.0777001759128702
17381180.000000,18,18,0,0,1.0777001759128702,1.0777001759128702
17381200.000000,19,19,0,0,1.0777001759128702,1.0777001759128702
17381220.000000,18,18,0,0,1.0777001759128702,1.0777001759128702
17381240.000000,19,19,0,0,1.0777001759128702,1.0777001759128702
