# project_name=keliya solverstep_min=20 epsilon_m=1e-06
entity_type,entity_id,flips_sf,flips_us,flips_gw,flips_stage
ele,361,11,0,0,0
ele,362,51,0,0,0
ele,363,2509,5,0,0
ele,364,0,0,0,0
ele,365,0,0,0,0
ele,366,0,0,0,0
ele,367,29,0,0,0
ele,368,0,0,0,0
ele,369,4,0,0,0
ele,370,29,2,0,0
ele,371,3284,3,0,0
ele,372,0,0,0,0
ele,373,0,0,0,0
ele,374,3,0,0,0
ele,375,0,0,0,0
ele,376,39,2,0,0
ele,377,18,0,0,0
ele,378,17,0,0,0
ele,379,0,0,0,0
ele,380,29,0,0,0
ele,381,53,4,0,0
ele,382,13,0,0,0
ele,383,47,6,0,0
ele,384,19,0,0,0
ele,385,43,2,0,0
ele,386,15,0,0,0
ele,387,41,2,0,0
ele,388,0,0,0,0
ele,389,15,0,0,0
ele,390,5,0,0,0
ele,391,4,0,0,0
ele,392,14,0,0,0
ele,393,15,0,0,0
ele,394,0,0,0,0
ele,395,2,0,0,0
ele,396,82,24,0,0
ele,397,0,0,0,0
ele,398,41,4,0,0
ele,399,15,0,0,0
ele,400,78,12,0,0
ele,401,60,6,0,0
ele,402,64,12,0,0
ele,403,57,4,0,0
ele,404,82,10,0,0
ele,405,63,62,0,0
ele,406,42,0,0,0
ele,407,0,0,0,0
ele,408,0,0,0,0
ele,409,29,0,0,0
ele,410,17,0,0,0
ele,411,24,0,0,0
ele,412,251,44,372,0
ele,413,9,0,0,0
ele,414,7,0,0,0
ele,415,11,0,0,0
ele,416,11,0,0,0
ele,417,15,0,0,0
ele,418,3,0,0,0
ele,419,5,0,0,0
ele,420,31,0,0,0
ele,421,0,0,0,0
ele,422,24,0,0,0
ele,423,5,0,0,0
ele,424,0,0,0,0
ele,425,4,0,0,0
ele,426,3110,32,13,0
ele,427,51,2,0,0
ele,428,0,0,0,0
ele,429,4077,0,0,0
ele,430,11,0,0,0
ele,431,0,0,0,0
ele,432,12,26,0,0
ele,433,2,30,35,0
ele,434,11,58,64,0
ele,435,11,28,0,0
ele,436,0,0,0,0
ele,437,4126,2,3,0
ele,438,0,0,0,0
ele,439,0,0,0,0
ele,440,0,0,0,0
ele,441,37,4,0,0
ele,442,1,0,0,0
ele,443,4,0,0,0
ele,444,57,2,0,0
ele,445,35,0,0,0
ele,446,0,0,0,0
ele,447,0,0,0,0
ele,448,17,0,0,0
ele,449,4,0,0,0
ele,450,0,0,1,0
ele,451,5,0,0,0
ele,452,0,0,0,0
ele,453,4097,0,0,0
ele,454,4,0,0,0
ele,455,4,0,0,0
ele,456,15,0,0,0
ele,457,0,0,0,0
ele,458,4,0,0,0
ele,459,4,0,0,0
ele,460,9,0,0,0
ele,461,9,24,0,0
ele,462,4,30,123,0
ele,463,9,28,0,0
ele,464,0,0,4,0
ele,465,7,24,0,0
ele,466,13,30,0,0
ele,467,15,0,0,0
ele,468,2,0,0,0
ele,469,15,0,0,0
ele,470,19,0,0,0
ele,471,27,0,0,0
ele,472,57,0,0,0
ele,473,4,0,0,0
ele,474,4,0,0,0
ele,475,15,0,0,0
ele,476,17,0,0,0
ele,477,8,4,0,0
ele,478,2,0,0,0
ele,479,13,0,0,0
ele,480,0,0,0,0
ele,481,3002,15,0,0
ele,482,0,0,0,0
ele,483,13,0,0,0
ele,484,11,0,0,0
riv,1,0,0,0,28
riv,2,0,0,0,26
riv,3,0,0,0,27
riv,4,0,0,0,27
riv,5,0,0,0,26
riv,6,0,0,0,36
riv,7,0,0,0,34
riv,8,0,0,0,30
riv,9,0,0,0,28
riv,10,0,0,0,28
riv,11,0,0,0,30
riv,12,0,0,0,32
riv,13,0,0,0,32
riv,14,0,0,0,32
riv,15,0,0,0,30
riv,16,0,0,0,30
riv,17,0,0,0,30
riv,18,0,0,0,30
riv,19,0,0,0,30
riv,20,0,0,0,30
riv,21,0,0,0,30
riv,22,0,0,0,30
riv,23,0,0,0,30
riv,24,0,0,0,30
riv,25,0,0,0,40
riv,26,0,0,0,98
riv,27,0,0,0,102
riv,28,0,0,0,98
riv,29,0,0,0,156
riv,30,0,0,0,350
riv,31,0,0,0,484
riv,32,0,0,0,454
riv,33,0,0,0,94
riv,34,0,0,0,38
riv,35,0,0,0,42
riv,36,0,0,0,38
riv,37,0,0,0,40
riv,38,0,0,0,42
riv,39,0,0,0,42
riv,40,0,0,0,212
riv,41,0,0,0,422
riv,42,0,0,0,380
riv,43,0,0,0,316
riv,44,0,0,0,258
riv,45,0,0,0,0
riv,46,0,0,0,0
riv,47,0,0,0,27
riv,48,0,0,0,152
riv,49,0,0,0,195
riv,50,0,0,0,49
riv,51,0,0,0,2
riv,52,0,0,0,4
riv,53,0,0,0,4
riv,54,0,0,0,4
riv,55,0,0,0,4
riv,56,0,0,0,4
riv,57,0,0,0,4
riv,58,0,0,0,6
riv,59,0,0,0,4
riv,60,0,0,0,4
riv,61,0,0,0,4
riv,62,0,0,0,4
riv,63,0,0,0,4
riv,64,0,0,0,4
riv,65,0,0,0,38
riv,66,0,0,0,38
riv,67,0,0,0,36
riv,68,0,0,0,38
riv,69,0,0,0,38
riv,70,0,0,0,40
riv,71,0,0,0,42
riv,72,0,0,0,34
riv,73,0,0,0,32
riv,74,0,0,0,32
riv,75,0,0,0,32
riv,76,0,0,0,28
riv,77,0,0,0,28
riv,78,0,0,0,28
riv,79,0,0,0,28
riv,80,0,0,0,28
riv,81,0,0,0,28
riv,82,0,0,0,28
riv,83,0,0,0,36
riv,84,0,0,0,40
riv,85,0,0,0,32
riv,86,0,0,0,32
riv,87,0,0,0,36
riv,88,0,0,0,40
riv,89,0,0,0,34
