index	iSoil	iGeol	iLC	IC	iForc	iMF	iBC	iLake	node0	node1	node2	nabr0	nabr1	nabr2	edge0	edge1	edge2	area	x	y	zmin	zmax	soil_index	infKsatV	ThetaS	ThetaR	Alpha	Beta	hAreaF	macKsatV	infD	geol_index	KsatH	KsatV	SpYield	geo_ThetaS	geo_ThetaR	geo_vAreaF	macKsatH	macD	LC_index	VegFrac	Albedo	Rough	RzD	SoilDgrd	ImpAF	Dist2Edge0	Dist2Edge1	Dist2Edge2	Dist2Nabor0	Dist2Nabor1	Dist2Nabor2	avgRough0	avgRough1	avgRough2	windH	FixPressure	AquiferDepth	WetlandLevel	RootReachLevel	MacporeLevel	
28	29	29	17	-9999	1168	1	0	0	0	270	258	284	269	168	65	3128.45	3128.46	2981.81	4.10052e+06	73337.1	4.22396e+06	1112.29	1118.29	-9999	0.00016511	0.458126	0.01	4.11054	1.226	0.01	0.016511	0.1	-9999	0.00237451	0.000237451	0.434282	0.444282	0.01	0.01	0.237451	1	0	0.01	0.3	0.000583333	0.55	0.6	0	873.811	873.81	916.783	1725.13	1641.11	1759.93	0.000583333	0.000583333	0.000583333	10	88.7829	6	5.9	5.45	5	
29	25	25	17	-9999	159	1	0	0	0	3621	3573	3603	6817	6892	6853	3007.6	2877.52	2878.28	3.68995e+06	-132976	4.13717e+06	2107.87	2113.87	-9999	0.00012754	0.447753	0.01	3.94178	1.20985	0.01	0.012754	0.1	-9999	0.0018545	0.00018545	0.439714	0.449714	0.01	0.01	0.18545	1	0	0.01	0.3	0.000583333	0.55	0.6	0	817.916	854.891	854.667	1711.96	1847.79	1610.67	0.000583333	0.000583333	0.000583333	10	78.7042	6	5.9	5.45	5	
30	37	37	17	-9999	1606	1	0	0	0	298	301	293	7551	128	119	3500.69	3156.3	3501.2	4.93183e+06	171346	4.2618e+06	1080.98	1086.98	-9999	0.00013799	0.447505	0.01	3.96229	1.22167	0.01	0.013799	0.1	-9999	0.00128236	0.000128236	0.405641	0.415641	0.01	0.01	0.128236	1	0	0.01	0.3	0.000583333	0.55	0.6	0	939.211	1041.69	939.073	1841.27	1763.36	1771.86	0.000583333	0.000583333	0.000583333	10	89.1161	6	5.9	5.45	5	
31	27	27	17	-9999	9	1	0	0	0	516	618	465	3229	787	983	2512.4	3058.37	2512.71	3.04862e+06	-194192	4.37843e+06	1713.85	1719.85	-9999	0.000137214	0.466971	0.01	3.69993	1.21789	0.01	0.0137214	0.1	-9999	0.00247817	0.000247817	0.445697	0.455697	0.01	0.01	0.247817	1	0	0.01	0.3	0.000583333	0.55	0.6	0	808.952	664.541	808.852	1843.23	1491.75	1957.91	0.000583333	0.000583333	0.000583333	10	82.5757	6	5.9	5.45	5	
32	25	25	17	-9999	332	1	0	0	0	420	498	418	755	601	599	3139.62	3440.18	2192.53	3.36838e+06	-88006.1	4.18948e+06	1270.46	1276.46	-9999	0.00012754	0.447753	0.01	3.94178	1.20985	0.01	0.012754	0.1	-9999	0.0018545	0.00018545	0.439714	0.449714	0.01	0.01	0.18545	1	0	0.01	0.3	0.000583333	0.55	0.6	0	715.241	652.753	1024.2	1357.47	1556.03	1777.37	0.000583333	0.000583333	0.000583333	10	87.1154	6	5.9	5.45	5	
33	25	25	17	-9999	256	1	0	0	0	3470	3463	3424	6538	6611	6612	2997.71	2868.48	2869.02	3.66627e+06	-106277	4.14196e+06	1774.5	1780.5	-9999	0.00012754	0.447753	0.01	3.94178	1.20985	0.01	0.012754	0.1	-9999	0.0018545	0.00018545	0.439714	0.449714	0.01	0.01	0.18545	1	0	0.01	0.3	0.000583333	0.55	0.6	0	815.35	852.083	851.922	1909.01	1421.91	1546.88	0.000583333	0.000583333	0.000583333	10	81.97	6	5.9	5.45	5	
34	76	76	11	-9999	157	1	0	0	0	3767	3673	3765	7163	7207	7078	2290.68	3401.63	3401.79	3.66863e+06	-136844	4.11738e+06	3180.38	3186.38	-9999	0.00135997	0.459687	0.01	4.60851	1.40516	0.01	0.135997	0.1	-9999	0.00375715	0.000375715	0.400042	0.410042	0.01	0.01	0.375715	1	0	0.726	0.15	0.000666667	0.75	0	0	1067.7	718.995	718.961	1831.12	1437.94	1727.43	0.000625	0.000625	0.000666667	10	68.9044	6	5.9	5.25	5	
35	25	25	17	-9999	291	1	0	0	0	3416	3386	3414	6484	6514	6475	2807	3114.28	4017.86	4.35615e+06	-96110.5	4.15227e+06	1543.09	1549.09	-9999	0.00012754	0.447753	0.01	3.94178	1.20985	0.01	0.012754	0.1	-9999	0.0018545	0.00018545	0.439714	0.449714	0.01	0.01	0.18545	1	0	0.01	0.3	0.000583333	0.55	0.6	0	1034.59	932.511	722.797	1899.09	1801.16	1594.83	0.000583333	0.000583333	0.000583333	10	84.3008	6	5.9	5.45	5	
36	25	25	17	-9999	223	1	0	0	0	3531	3516	3558	6719	6802	6638	2352.35	4654.5	4321.65	5.04302e+06	-119747	4.13966e+06	1906.97	1912.97	-9999	0.00012754	0.447753	0.01	3.94178	1.20985	0.01	0.012754	0.1	-9999	0.0018545	0.00018545	0.439714	0.449714	0.01	0.01	0.18545	1	0	0.01	0.3	0.000583333	0.55	0.6	0	1429.21	722.315	777.947	2296.28	1447.38	1721.55	0.000583333	0.000583333	0.000583333	10	80.6594	6	5.9	5.45	5	
37	29	29	17	-9999	1579	1	0	0	0	1721	292	288	308	185	125	2708.51	3573.91	2539.18	3.42941e+06	165222	4.2561e+06	1035.47	1041.47	-9999	0.00016511	0.458126	0.01	4.11054	1.226	0.01	0.016511	0.1	-9999	0.00237451	0.000237451	0.434282	0.444282	0.01	0.01	0.237451	1	0	0.01	0.3	0.000583333	0.55	0.6	0	844.106	639.712	900.398	1685.04	1305.76	1737.91	0.000583333	0.000583333	0.000583333	10	89.6021	6	5.9	5.45	5	
38	25	25	17	-9999	161	1	0	0	0	5974	8946	7	17466	11569	11567	2633.81	2923.78	2850.22	3.38201e+06	-136105	4.15476e+06	1878.29	1884.29	-9999	0.00012754	0.447753	0.01	3.94178	1.20985	0.01	0.012754	0.1	-9999	0.0018545	0.00018545	0.439714	0.449714	0.01	0.01	0.18545	1	0	0.01	0.3	0.000583333	0.55	0.6	0	856.049	771.151	791.052	1788.22	1552.83	1582.02	0.000583333	0.000583333	0.000583333	10	80.9417	6	5.9	5.45	5	
39	23	23	17	-9999	418	1	0	0	0	1750	446	449	655	519	3198	3498.38	2353.63	3541.36	3.90322e+06	-73679	4.21089e+06	1298.18	1304.18	-9999	0.000112858	0.483477	0.01	3.26628	1.2141	0.01	0.0112858	0.1	-9999	0.00134941	0.000134941	0.42041	0.43041	0.01	0.01	0.134941	1	0	0.01	0.3	0.000583333	0.55	0.6	0	743.815	1105.59	734.788	1665.45	1949.87	1343.26	0.000583333	0.000583333	0.000583333	10	86.8258	6	5.9	5.45	5	
40	45	45	17	-9999	372	1	0	0	0	1222	1191	1224	1926	1029	2158	4095.77	2655.07	2301.83	2.84825e+06	-85086.7	4.1617e+06	1433.92	1439.92	-9999	0.000247169	0.392299	0.01	6.18921	1.35935	0.01	0.0247169	0.1	-9999	0.00217401	0.000217401	0.390768	0.400768	0.01	0.01	0.217401	1	0	0.01	0.3	0.000583333	0.55	0.6	0	463.607	715.171	824.921	1413.69	1533.68	1641.3	0.000583333	0.000625	0.000583333	10	85.4189	6	5.9	5.45	5	
41	25	25	17	-9999	190	1	0	0	0	3544	3572	3590	6901	6815	6709	2929.13	2928.94	3061.19	3.82236e+06	-126950	4.14735e+06	1850.11	1856.11	-9999	0.00012754	0.447753	0.01	3.94178	1.20985	0.01	0.012754	0.1	-9999	0.0018545	0.00018545	0.439714	0.449714	0.01	0.01	0.18545	1	0	0.01	0.3	0.000583333	0.55	0.6	0	869.966	870.02	832.435	1781	1501.32	1742.24	0.000583333	0.000583333	0.000583333	10	81.2199	6	5.9	5.45	5	
42	26	26	17	-9999	819	1	0	0	0	123	229	1715	3133	215	163	2383.8	3843.79	2532.61	2.94342e+06	2637.59	4.17771e+06	1252.62	1258.62	-9999	0.00016511	0.458126	0.01	4.11054	1.226	0.01	0.016511	0.1	-9999	0.00237451	0.000237451	0.434282	0.444282	0.01	0.01	0.237451	1	0	0.01	0.3	0.000583333	0.55	0.6	0	823.175	510.507	774.807	1669.94	1275.22	1602.22	0.000583333	0.000583333	0.000583333	10	87.3023	6	5.9	5.45	5	
43	75	75	11	-9999	246	1	0	0	0	408	306	248	206	130	588	3052.87	2920.65	2920.62	3.80083e+06	-109017	4.03499e+06	3882.18	3888.18	-9999	0.000153008	0.499223	0.01	2.47817	1.10105	0.01	0.0153008	0.1	-9999	0.000556172	5.56172e-05	0.491243	0.501243	0.01	0.01	0.0556172	1	0	0.726	0.15	0.000666667	0.75	0	0	830	867.576	867.584	1958.69	1967.04	1590.34	0.000666667	0.000666667	0.000666667	10	63.0453	6	5.9	5.25	5	
44	25	25	17	-9999	375	1	0	0	0	309	250	266	359	295	164	3200.4	3062.76	3062.25	4.17842e+06	-81880.3	4.19866e+06	1234.24	1240.24	-9999	0.00012754	0.447753	0.01	3.94178	1.20985	0.01	0.012754	0.1	-9999	0.0018545	0.00018545	0.439714	0.449714	0.01	0.01	0.18545	1	0	0.01	0.3	0.000583333	0.55	0.6	0	870.397	909.511	909.662	1821.65	1965.91	1642.64	0.000583333	0.000583333	0.000583333	10	87.495	6	5.9	5.45	5	
45	69	69	17	-9999	186	1	0	0	0	5987	3778	3780	7237	7229	11777	2713.67	2543.98	2740.14	3.06795e+06	-128856	4.1048e+06	3104.47	3110.47	-9999	0.000154527	0.481521	0.01	3.54553	1.13512	0.01	0.0154527	0.1	-9999	0.000581971	5.81971e-05	0.484056	0.494056	0.01	0.01	0.0581971	1	0	0.01	0.3	0.000583333	0.55	0.6	0	753.703	803.978	746.422	1651.83	1741.38	1431	0.000625	0.000583333	0.000583333	10	69.5638	6	5.9	5.45	5	
46	29	29	17	-9999	998	1	0	0	0	116	287	372	167	517	280	3582.22	3201.27	3001.6	4.52797e+06	36073.9	4.20109e+06	1159.79	1165.79	-9999	0.00016511	0.458126	0.01	4.11054	1.226	0.01	0.016511	0.1	-9999	0.00237451	0.000237451	0.434282	0.444282	0.01	0.01	0.237451	1	0	0.01	0.3	0.000583333	0.55	0.6	0	842.675	942.952	1005.68	1378.68	1783.72	1683.62	0.000583333	0.000583333	0.000583333	10	88.2794	6	5.9	5.45	5	
