step_idx	t_sim	setup_called	hypre_iters	hypre_op_count	operator_complexity	setup_wall_sec	solve_wall_sec	cvode_nli_step	cvode_nfeLS_step
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.363750e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.463750e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.472080e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.510840e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.393750e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.470000e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.434160e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.492500e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.420410e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.411250e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.454170e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.460420e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.437910e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.479580e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.455000e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.416670e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.502500e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.480420e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.489170e-04	0	0
