step_idx	t_sim	setup_called	hypre_iters	hypre_op_count	operator_complexity	setup_wall_sec	solve_wall_sec	cvode_nli_step	cvode_nfeLS_step
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.078503e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.071277e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.051877e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.011896e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.052214e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.066525e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.031380e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	9.844126e-03	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.021503e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.065820e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.056095e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.020105e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.180241e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.209967e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.007844e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.115534e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.187894e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.072921e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.111897e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.175411e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.031742e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.052666e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.030181e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.022855e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.039619e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.140808e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.174719e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.081256e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.027852e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.165959e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.079843e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.020951e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.137093e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.046919e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.044954e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.061192e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	9.943074e-03	0	0
