# project_name=xinanjiang solverstep_min=20
t_next,delta_nst,delta_nfe,delta_ncfn,delta_netf,h_last,h_cur
11500.000000,1,1,0,0,20,20
11520.000000,1,1,0,0,20,20
11540.000000,1,1,0,0,20,20
11560.000000,1,2,0,0,20,20
11580.000000,1,1,0,0,20,20
11600.000000,1,1,0,0,20,20
11620.000000,1,1,0,0,20,20
11640.000000,1,1,0,0,20,20
11660.000000,1,1,0,0,20,20
11680.000000,1,1,0,0,20,20
11700.000000,1,1,0,0,20,20
11720.000000,1,1,0,0,20,20
11740.000000,1,1,0,0,20,20
11760.000000,1,1,0,0,20,20
11780.000000,1,1,0,0,20,20
11800.000000,1,1,0,0,20,20
11820.000000,1,1,0,0,20,20
11840.000000,1,1,0,0,20,20
11860.000000,1,1,0,0,20,20
11880.000000,1,1,0,0,20,20
11900.000000,1,1,0,0,20,20
11920.000000,1,1,0,0,20,20
11940.000000,1,1,0,0,20,20
11960.000000,1,1,0,0,20,20
11980.000000,1,1,0,0,20,20
12000.000000,1,1,0,0,20,20
12020.000000,1,1,0,0,20,20
12040.000000,1,1,0,0,20,20
12060.000000,1,1,0,0,20,20
12080.000000,1,1,0,0,20,20
12100.000000,1,1,0,0,20,20
12120.000000,1,1,0,0,20,20
12140.000000,1,1,0,0,20,20
12160.000000,1,1,0,0,20,20
12180.000000,1,1,0,0,20,20
12200.000000,1,1,0,0,20,20
12220.000000,1,1,0,0,20,20
12240.000000,1,1,0,0,20,20
12260.000000,1,1,0,0,20,20
12280.000000,1,1,0,0,20,20
12300.000000,1,1,0,0,20,20
12320.000000,1,1,0,0,20,20
12340.000000,1,1,0,0,20,20
12360.000000,1,1,0,0,20,20
12380.000000,1,1,0,0,20,20
12400.000000,1,1,0,0,20,20
12420.000000,1,1,0,0,20,20
12440.000000,1,1,0,0,20,20
12460.000000,1,1,0,0,20,20
12480.000000,1,1,0,0,20,20
12500.000000,1,1,0,0,20,20
12520.000000,1,1,0,0,20,20
12540.000000,1,1,0,0,20,20
12560.000000,1,1,0,0,20,20
12580.000000,1,1,0,0,20,20
12600.000000,1,1,0,0,20,20
12620.000000,1,1,0,0,20,20
12640.000000,1,1,0,0,20,20
12660.000000,1,1,0,0,20,20
12680.000000,1,1,0,0,20,20
12700.000000,1,1,0,0,20,20
12720.000000,1,1,0,0,20,20
12740.000000,1,1,0,0,20,20
12760.000000,1,1,0,0,20,20
12780.000000,1,1,0,0,20,20
12800.000000,1,1,0,0,20,20
12820.000000,1,1,0,0,20,20
12840.000000,1,1,0,0,20,20
12860.000000,1,1,0,0,20,20
12880.000000,1,1,0,0,20,20
12900.000000,1,1,0,0,20,20
12920.000000,1,1,0,0,20,20
12940.000000,1,1,0,0,20,20
12960.000000,1,1,0,0,20,20
12980.000000,1,1,0,0,20,20
13000.000000,1,1,0,0,20,20
13020.000000,1,1,0,0,20,20
13040.000000,1,1,0,0,20,20
13060.000000,1,1,0,0,20,20
13080.000000,1,1,0,0,20,20
13100.000000,1,1,0,0,20,20
13120.000000,1,1,0,0,20,20
13140.000000,1,1,0,0,20,20
13160.000000,1,1,0,0,20,20
13180.000000,1,1,0,0,20,20
13200.000000,1,1,0,0,20,20
13220.000000,1,1,0,0,20,20
13240.000000,1,1,0,0,20,20
13260.000000,1,1,0,0,20,20
13280.000000,1,1,0,0,20,20
13300.000000,1,1,0,0,20,20
13320.000000,1,1,0,0,20,20
13340.000000,1,1,0,0,20,20
13360.000000,1,1,0,0,20,20
13380.000000,1,1,0,0,20,20
13400.000000,1,1,0,0,20,20
13420.000000,1,1,0,0,20,20
13440.000000,1,1,0,0,20,20
13460.000000,1,1,0,0,20,20
13480.000000,1,1,0,0,20,20
13500.000000,1,1,0,0,20,20
13520.000000,1,1,0,0,20,20
13540.000000,1,1,0,0,20,20
13560.000000,1,1,0,0,20,20
13580.000000,1,1,0,0,20,20
13600.000000,1,1,0,0,20,20
13620.000000,1,1,0,0,20,20
13640.000000,1,1,0,0,20,20
13660.000000,1,1,0,0,20,20
13680.000000,1,1,0,0,20,20
13700.000000,1,1,0,0,20,20
13720.000000,1,1,0,0,20,20
13740.000000,1,1,0,0,20,20
13760.000000,1,1,0,0,20,20
13780.000000,1,1,0,0,20,20
13800.000000,1,1,0,0,20,20
13820.000000,1,1,0,0,20,20
13840.000000,1,1,0,0,20,20
13860.000000,1,1,0,0,20,20
13880.000000,1,1,0,0,20,20
13900.000000,1,1,0,0,20,20
13920.000000,1,1,0,0,20,20
13940.000000,1,1,0,0,20,20
13960.000000,1,1,0,0,20,20
13980.000000,1,1,0,0,20,20
14000.000000,1,1,0,0,20,20
14020.000000,1,1,0,0,20,20
14040.000000,1,1,0,0,20,20
14060.000000,1,1,0,0,20,20
14080.000000,1,1,0,0,20,20
14100.000000,1,1,0,0,20,20
14120.000000,1,1,0,0,20,20
14140.000000,1,1,0,0,20,20
14160.000000,1,1,0,0,20,20
14180.000000,1,1,0,0,20,20
14200.000000,1,1,0,0,20,20
14220.000000,1,1,0,0,20,20
14240.000000,1,1,0,0,20,20
14260.000000,1,1,0,0,20,20
14280.000000,1,1,0,0,20,20
14300.000000,1,1,0,0,20,20
14320.000000,1,1,0,0,20,20
14340.000000,1,1,0,0,20,20
14360.000000,1,1,0,0,20,20
14380.000000,1,1,0,0,20,20
14400.000000,1,1,0,0,20,20
14420.000000,1,1,0,0,20,20
14440.000000,1,1,0,0,20,20
14460.000000,1,1,0,0,20,20
14480.000000,1,1,0,0,20,20
14500.000000,1,1,0,0,20,20
14520.000000,1,1,0,0,20,20
14540.000000,1,1,0,0,20,20
14560.000000,1,1,0,0,20,20
14580.000000,1,1,0,0,20,20
14600.000000,1,1,0,0,20,20
14620.000000,1,1,0,0,20,20
14640.000000,1,1,0,0,20,20
14660.000000,1,1,0,0,20,20
14680.000000,1,1,0,0,20,20
14700.000000,1,1,0,0,20,20
14720.000000,1,1,0,0,20,20
14740.000000,1,1,0,0,20,20
14760.000000,1,1,0,0,20,20
14780.000000,1,1,0,0,20,20
14800.000000,1,1,0,0,20,20
14820.000000,1,1,0,0,20,20
14840.000000,1,1,0,0,20,20
14860.000000,1,1,0,0,20,20
14880.000000,1,1,0,0,20,20
14900.000000,1,1,0,0,20,20
14920.000000,1,1,0,0,20,20
14940.000000,1,1,0,0,20,20
14960.000000,1,1,0,0,20,20
14980.000000,1,1,0,0,20,20
15000.000000,1,1,0,0,20,20
15020.000000,1,1,0,0,20,20
15040.000000,1,1,0,0,20,20
15060.000000,1,1,0,0,20,20
15080.000000,1,1,0,0,20,20
15100.000000,1,1,0,0,20,20
15120.000000,1,1,0,0,20,20
15140.000000,1,1,0,0,20,20
15160.000000,1,1,0,0,20,20
15180.000000,1,1,0,0,20,20
15200.000000,1,1,0,0,20,20
15220.000000,1,1,0,0,20,20
15240.000000,1,1,0,0,20,20
15260.000000,1,1,0,0,20,20
15280.000000,1,1,0,0,20,20
15300.000000,1,1,0,0,20,20
15320.000000,1,1,0,0,20,20
15340.000000,1,1,0,0,20,20
15360.000000,1,1,0,0,20,20
15380.000000,1,1,0,0,20,20
15400.000000,1,1,0,0,20,20
15420.000000,1,1,0,0,20,20
15440.000000,1,1,0,0,20,20
15460.000000,1,1,0,0,20,20
15480.000000,1,1,0,0,20,20
15500.000000,1,1,0,0,20,20
15520.000000,1,1,0,0,20,20
15540.000000,1,1,0,0,20,20
15560.000000,1,1,0,0,20,20
15580.000000,1,1,0,0,20,20
15600.000000,1,1,0,0,20,20
15620.000000,1,1,0,0,20,20
15640.000000,1,1,0,0,20,20
15660.000000,1,1,0,0,20,20
15680.000000,1,1,0,0,20,20
15700.000000,1,2,0,0,20,20
15720.000000,1,2,0,0,20,20
15740.000000,1,2,0,0,20,20
15760.000000,1,2,0,0,20,20
15780.000000,1,1,0,0,20,20
15800.000000,1,1,0,0,20,20
15820.000000,1,1,0,0,20,20
15840.000000,1,1,0,0,20,20
15860.000000,1,2,0,0,20,20
15880.000000,1,1,0,0,20,20
15900.000000,1,1,0,0,20,20
15920.000000,1,1,0,0,20,20
15940.000000,1,1,0,0,20,20
15960.000000,1,1,0,0,20,20
15980.000000,1,1,0,0,20,20
16000.000000,1,1,0,0,20,20
16020.000000,1,1,0,0,20,20
16040.000000,1,1,0,0,20,20
16060.000000,1,1,0,0,20,20
16080.000000,1,1,0,0,20,20
16100.000000,1,1,0,0,20,20
16120.000000,1,1,0,0,20,20
16140.000000,1,1,0,0,20,20
16160.000000,1,1,0,0,20,20
16180.000000,1,1,0,0,20,20
16200.000000,1,1,0,0,20,20
16220.000000,1,1,0,0,20,20
16240.000000,1,1,0,0,20,20
16260.000000,1,1,0,0,20,20
16280.000000,1,1,0,0,20,20
16300.000000,1,1,0,0,20,20
16320.000000,1,1,0,0,20,20
16340.000000,1,1,0,0,20,20
16360.000000,1,1,0,0,20,20
16380.000000,1,1,0,0,20,20
16400.000000,1,1,0,0,20,20
16420.000000,1,1,0,0,20,20
16440.000000,1,1,0,0,20,20
16460.000000,1,1,0,0,20,20
16480.000000,1,1,0,0,20,20
16500.000000,1,1,0,0,20,20
16520.000000,1,1,0,0,20,20
16540.000000,1,1,0,0,20,20
16560.000000,1,1,0,0,20,20
16580.000000,1,1,0,0,20,20
16600.000000,1,1,0,0,20,20
16620.000000,1,1,0,0,20,20
16640.000000,1,1,0,0,20,20
16660.000000,1,1,0,0,20,20
16680.000000,1,1,0,0,20,20
16700.000000,1,1,0,0,20,20
16720.000000,1,1,0,0,20,20
16740.000000,1,1,0,0,20,20
16760.000000,1,2,0,0,20,20
16780.000000,1,2,0,0,20,20
16800.000000,1,1,0,0,20,20
16820.000000,1,1,0,0,20,20
16840.000000,1,1,0,0,20,20
16860.000000,1,1,0,0,20,20
16880.000000,1,1,0,0,20,20
16900.000000,1,1,0,0,20,20
16920.000000,1,1,0,0,20,20
16940.000000,1,2,0,0,20,20
16960.000000,1,2,0,0,20,20
16980.000000,1,1,0,0,20,20
17000.000000,1,1,0,0,20,20
17020.000000,1,1,0,0,20,20
17040.000000,1,1,0,0,20,20
17060.000000,1,1,0,0,20,20
17080.000000,1,1,0,0,20,20
17100.000000,1,1,0,0,20,20
17120.000000,1,2,0,0,20,20
17140.000000,1,2,0,0,20,20
17160.000000,1,2,0,0,20,20
17180.000000,1,1,0,0,20,20
17200.000000,1,1,0,0,20,20
17220.000000,1,1,0,0,20,20
17240.000000,1,1,0,0,20,20
17260.000000,1,1,0,0,20,20
17280.000000,1,1,0,0,20,20
17300.000000,1,1,0,0,20,20
17320.000000,1,1,0,0,20,20
17340.000000,1,1,0,0,20,20
17360.000000,1,1,0,0,20,20
17380.000000,1,1,0,0,20,20
17400.000000,1,1,0,0,20,20
17420.000000,1,1,0,0,20,20
17440.000000,1,1,0,0,20,20
17460.000000,1,1,0,0,20,20
17480.000000,1,1,0,0,20,20
17500.000000,1,1,0,0,20,20
17520.000000,1,1,0,0,20,20
17540.000000,1,1,0,0,20,20
17560.000000,1,1,0,0,20,20
17580.000000,1,1,0,0,20,20
17600.000000,1,1,0,0,20,20
17620.000000,1,1,0,0,20,20
17640.000000,1,1,0,0,20,20
17660.000000,1,1,0,0,20,20
17680.000000,1,1,0,0,20,20
17700.000000,1,1,0,0,20,20
17720.000000,1,1,0,0,20,20
17740.000000,1,1,0,0,20,20
17760.000000,1,1,0,0,20,20
17780.000000,1,1,0,0,20,20
17800.000000,1,1,0,0,20,20
17820.000000,1,1,0,0,20,20
17840.000000,1,2,0,0,20,20
17860.000000,1,1,0,0,20,20
17880.000000,1,1,0,0,20,20
17900.000000,1,1,0,0,20,20
17920.000000,1,1,0,0,20,20
17940.000000,1,1,0,0,20,20
17960.000000,1,1,0,0,20,20
17980.000000,1,1,0,0,20,20
18000.000000,1,1,0,0,20,20
18020.000000,1,1,0,0,20,20
18040.000000,1,1,0,0,20,20
18060.000000,1,1,0,0,20,20
18080.000000,1,1,0,0,20,20
18100.000000,1,1,0,0,20,20
18120.000000,1,1,0,0,20,20
18140.000000,1,1,0,0,20,20
18160.000000,1,1,0,0,20,20
18180.000000,1,1,0,0,20,20
18200.000000,1,2,0,0,20,20
18220.000000,1,2,0,0,20,20
18240.000000,1,2,0,0,20,20
18260.000000,1,1,0,0,20,20
18280.000000,1,2,0,0,20,20
18300.000000,1,1,0,0,20,20
18320.000000,1,1,0,0,20,20
18340.000000,1,1,0,0,20,20
18360.000000,1,1,0,0,20,20
18380.000000,1,1,0,0,20,20
18400.000000,1,1,0,0,20,20
18420.000000,1,1,0,0,20,20
18440.000000,1,1,0,0,20,20
18460.000000,1,1,0,0,20,20
18480.000000,1,1,0,0,20,20
18500.000000,1,1,0,0,20,20
18520.000000,1,1,0,0,20,20
18540.000000,1,1,0,0,20,20
18560.000000,1,1,0,0,20,20
18580.000000,1,1,0,0,20,20
18600.000000,1,1,0,0,20,20
18620.000000,1,1,0,0,20,20
18640.000000,1,1,0,0,20,20
18660.000000,1,1,0,0,20,20
18680.000000,1,1,0,0,20,20
18700.000000,1,1,0,0,20,20
18720.000000,1,1,0,0,20,20
18740.000000,1,1,0,0,20,20
18760.000000,1,1,0,0,20,20
18780.000000,1,1,0,0,20,20
18800.000000,1,1,0,0,20,20
18820.000000,1,1,0,0,20,20
18840.000000,1,1,0,0,20,20
18860.000000,1,1,0,0,20,20
18880.000000,1,1,0,0,20,20
18900.000000,1,1,0,0,20,20
18920.000000,1,1,0,0,20,20
18940.000000,1,1,0,0,20,20
18960.000000,1,1,0,0,20,20
18980.000000,1,1,0,0,20,20
19000.000000,1,1,0,0,20,20
19020.000000,1,1,0,0,20,20
19040.000000,1,1,0,0,20,20
19060.000000,1,1,0,0,20,20
19080.000000,1,1,0,0,20,20
19100.000000,1,1,0,0,20,20
19120.000000,1,1,0,0,20,20
19140.000000,1,1,0,0,20,20
19160.000000,1,1,0,0,20,20
19180.000000,1,1,0,0,20,20
19200.000000,1,1,0,0,20,20
19220.000000,1,1,0,0,20,20
19240.000000,1,1,0,0,20,20
19260.000000,1,1,0,0,20,20
19280.000000,1,1,0,0,20,20
19300.000000,1,1,0,0,20,20
19320.000000,1,1,0,0,20,20
19340.000000,1,1,0,0,20,20
19360.000000,1,1,0,0,20,20
19380.000000,1,1,0,0,20,20
19400.000000,1,1,0,0,20,20
19420.000000,1,1,0,0,20,20
19440.000000,1,1,0,0,20,20
19460.000000,1,1,0,0,20,20
19480.000000,1,1,0,0,20,20
19500.000000,1,1,0,0,20,20
19520.000000,1,1,0,0,20,20
19540.000000,1,1,0,0,20,20
19560.000000,1,1,0,0,20,20
19580.000000,1,1,0,0,20,20
19600.000000,1,1,0,0,20,20
19620.000000,1,1,0,0,20,20
19640.000000,1,1,0,0,20,20
19660.000000,1,1,0,0,20,20
19680.000000,1,1,0,0,20,20
19700.000000,1,1,0,0,20,20
19720.000000,1,1,0,0,20,20
19740.000000,1,1,0,0,20,20
19760.000000,1,1,0,0,20,20
19780.000000,1,1,0,0,20,20
19800.000000,1,1,0,0,20,20
19820.000000,1,1,0,0,20,20
19840.000000,1,1,0,0,20,20
19860.000000,1,1,0,0,20,20
19880.000000,1,1,0,0,20,20
19900.000000,1,1,0,0,20,20
19920.000000,1,1,0,0,20,20
