# project_name=xinanjiang solverstep_min=20 epsilon_m=1e-06
entity_type,entity_id,flips_sf,flips_us,flips_gw,flips_stage
ele,318,169,0,2,0
ele,319,115,0,0,0
ele,320,183,0,10,0
ele,321,139,0,10,0
ele,322,115,0,0,0
ele,323,101,0,0,0
ele,324,125,0,0,0
ele,325,115,0,0,0
ele,326,111,0,0,0
ele,327,123,0,0,0
ele,328,105,0,0,0
ele,329,127,0,0,0
ele,330,115,0,0,0
ele,331,171,0,10,0
ele,332,167,0,12,0
ele,333,117,0,0,0
ele,334,103,0,0,0
ele,335,137,0,0,0
ele,336,64,0,0,0
ele,337,107,0,0,0
ele,338,139,0,0,0
ele,339,183,0,8,0
ele,340,97,0,0,0
ele,341,235,0,12,0
ele,342,296,0,8,0
ele,343,121,0,0,0
ele,344,151,0,8,0
ele,345,112,0,2,0
ele,346,151,0,10,0
ele,347,133,0,0,0
ele,348,193,0,10,0
ele,349,157,0,10,0
ele,350,5576,0,0,0
ele,351,48,0,0,0
ele,352,99,0,0,0
ele,353,133,0,0,0
ele,354,143,0,0,0
ele,355,127,0,10,0
ele,356,5762,0,0,0
ele,357,175,0,10,0
ele,358,149,0,0,0
ele,359,151,0,14,0
ele,360,171,0,12,0
ele,361,163,0,10,0
ele,362,147,0,10,0
ele,363,5688,0,0,0
ele,364,121,0,0,0
ele,365,195,0,10,0
ele,366,137,0,0,0
ele,367,103,0,0,0
ele,368,123,0,0,0
ele,369,119,0,0,0
ele,370,125,0,10,0
ele,371,109,0,0,0
ele,372,123,0,0,0
ele,373,117,0,0,0
ele,374,101,0,0,0
ele,375,113,0,2,0
ele,376,169,0,14,0
ele,377,137,0,0,0
ele,378,135,0,0,0
ele,379,127,0,10,0
ele,380,113,0,10,0
ele,381,207,0,10,0
ele,382,119,0,10,0
ele,383,185,0,10,0
ele,384,113,0,0,0
ele,385,113,0,0,0
ele,386,219,0,8,0
ele,387,151,0,10,0
ele,388,147,0,0,0
ele,389,157,0,10,0
ele,390,171,0,14,0
ele,391,99,0,0,0
ele,392,143,0,10,0
ele,393,113,0,0,0
ele,394,101,0,10,0
ele,395,105,0,0,0
ele,396,99,0,0,0
ele,397,223,0,8,0
ele,398,228,0,2,0
ele,399,103,0,6,0
ele,400,101,0,2,0
ele,401,179,0,10,0
ele,402,229,0,8,0
ele,403,129,0,0,0
ele,404,215,0,10,0
ele,405,77,0,0,0
ele,406,141,0,2,0
ele,407,94,0,4,0
ele,408,95,0,0,0
ele,409,197,0,10,0
ele,410,123,0,0,0
ele,411,244,0,10,0
ele,412,117,0,0,0
ele,413,111,0,0,0
ele,414,143,0,14,0
ele,415,113,0,0,0
ele,416,109,0,0,0
ele,417,121,0,0,0
ele,418,111,0,0,0
ele,419,149,0,2,0
ele,420,107,0,0,0
ele,421,113,0,0,0
ele,422,163,0,12,0
ele,423,115,0,0,0
ele,424,95,0,0,0
ele,425,111,0,0,0
ele,426,117,0,0,0
ele,427,63,0,0,0
ele,428,151,0,10,0
ele,429,219,0,2,0
ele,430,115,0,0,0
ele,431,99,0,0,0
ele,432,1475,0,0,0
ele,433,117,0,0,0
ele,434,5261,0,0,0
ele,435,131,0,0,0
ele,436,113,0,0,0
ele,437,89,0,0,0
ele,438,147,0,10,0
ele,439,95,0,0,0
ele,440,167,0,12,0
ele,441,87,0,0,0
ele,442,5113,0,0,0
ele,443,85,0,0,0
ele,444,325,0,2,0
ele,445,113,0,0,0
ele,446,117,0,10,0
ele,447,103,0,4,0
ele,448,135,0,0,0
ele,449,135,0,0,0
ele,450,209,0,14,0
ele,451,111,0,0,0
ele,452,129,0,2,0
ele,453,85,0,0,0
ele,454,107,0,2,0
ele,455,77,0,0,0
ele,456,99,0,0,0
ele,457,111,0,0,0
ele,458,121,0,14,0
ele,459,129,0,0,0
ele,460,165,0,8,0
ele,461,135,0,16,0
ele,462,163,0,14,0
ele,463,137,0,0,0
ele,464,131,0,0,0
ele,465,145,0,0,0
ele,466,5515,0,0,0
ele,467,107,0,6,0
ele,468,91,0,4,0
ele,469,97,0,4,0
ele,470,117,0,4,0
ele,471,171,0,8,0
ele,472,209,0,14,0
ele,473,107,0,0,0
ele,474,125,0,16,0
ele,475,95,0,4,0
ele,476,147,0,2,0
ele,477,85,0,0,0
ele,478,77,0,0,0
ele,479,231,0,4,0
ele,480,87,0,0,0
ele,481,127,0,0,0
ele,482,121,0,0,0
ele,483,123,0,0,0
ele,484,123,0,0,0
ele,485,143,0,0,0
ele,486,133,0,0,0
ele,487,127,0,0,0
ele,488,191,0,14,0
ele,489,157,0,8,0
ele,490,683,0,0,0
ele,491,91,0,4,0
ele,492,113,0,0,0
ele,493,145,0,2,0
ele,494,115,0,0,0
ele,495,63,0,0,0
ele,496,113,0,2,0
ele,497,69,0,0,0
ele,498,67,0,0,0
ele,499,77,0,0,0
ele,500,97,0,6,0
ele,501,115,0,0,0
ele,502,137,0,14,0
ele,503,111,0,0,0
ele,504,143,0,16,0
ele,505,87,0,0,0
ele,506,117,0,0,0
ele,507,99,0,0,0
ele,508,5652,0,0,0
ele,509,113,0,0,0
ele,510,107,0,0,0
ele,511,115,0,2,0
ele,512,73,0,0,0
ele,513,65,0,0,0
ele,514,81,0,0,0
ele,515,101,0,0,0
ele,516,111,0,0,0
ele,517,113,0,0,0
ele,518,107,0,0,0
ele,519,113,0,0,0
ele,520,97,0,6,0
ele,521,107,0,0,0
ele,522,125,0,8,0
ele,523,141,0,0,0
ele,524,121,0,0,0
ele,525,125,0,6,0
ele,526,139,0,2,0
ele,527,193,0,0,0
ele,528,147,0,8,0
ele,529,48,0,0,0
ele,530,119,0,0,0
ele,531,159,0,8,0
ele,532,139,0,6,0
ele,533,204,0,2,0
ele,534,263,0,0,0
ele,535,113,0,0,0
ele,536,229,0,4,0
ele,537,145,0,8,0
ele,538,157,0,10,0
ele,539,109,0,0,0
ele,540,125,0,10,0
ele,541,131,0,0,0
ele,542,113,0,0,0
ele,543,95,0,0,0
ele,544,113,0,8,0
ele,545,199,0,8,0
ele,546,125,0,8,0
ele,547,193,0,0,0
ele,548,93,0,0,0
ele,549,125,0,8,0
ele,550,5574,0,0,0
ele,551,99,0,0,0
ele,552,125,0,0,0
ele,553,5740,0,0,0
ele,554,115,0,0,0
ele,555,97,0,0,0
ele,556,115,0,0,0
ele,557,121,0,0,0
ele,558,133,0,12,0
ele,559,111,0,10,0
ele,560,5646,0,0,0
ele,561,121,0,0,0
ele,562,321,0,8,0
ele,563,113,0,8,0
ele,564,91,0,0,0
ele,565,5246,0,0,0
ele,566,115,0,0,0
ele,567,143,0,0,0
ele,568,337,0,4,0
ele,569,119,0,6,0
ele,570,85,0,0,0
ele,571,5555,0,0,0
ele,572,161,0,10,0
ele,573,169,0,10,0
ele,574,99,0,0,0
ele,575,81,0,0,0
ele,576,2528,0,0,0
ele,577,145,0,8,0
ele,578,257,0,10,0
ele,579,201,0,10,0
ele,580,135,0,0,0
ele,581,159,0,10,0
ele,582,99,0,0,0
ele,583,175,0,12,0
ele,584,111,0,0,0
ele,585,113,0,14,0
ele,586,5510,0,0,0
ele,587,77,0,0,0
ele,588,1013,0,0,0
ele,589,103,0,0,0
ele,590,121,0,0,0
ele,591,97,0,0,0
ele,592,5457,0,0,0
ele,593,87,0,0,0
ele,594,167,0,14,0
ele,595,5611,0,0,0
ele,596,185,0,14,0
ele,597,141,0,10,0
ele,598,161,0,8,0
ele,599,111,0,10,0
ele,600,107,0,0,0
ele,601,131,0,0,0
ele,602,153,0,10,0
ele,603,1329,0,0,0
ele,604,93,0,0,0
ele,605,4857,0,0,0
ele,606,133,0,0,0
ele,607,111,0,0,0
ele,608,159,0,10,0
ele,609,155,0,12,0
ele,610,105,0,0,0
ele,611,129,0,6,0
ele,612,147,0,0,0
ele,613,143,0,12,0
ele,614,153,0,0,0
ele,615,179,0,14,0
ele,616,151,0,12,0
ele,617,103,0,6,0
ele,618,139,0,0,0
ele,619,141,0,0,0
ele,620,227,0,12,0
ele,621,157,0,0,0
ele,622,169,0,12,0
ele,623,87,0,6,0
ele,624,181,0,10,0
ele,625,153,0,10,0
ele,626,184,0,10,0
ele,627,205,0,10,0
ele,628,71,0,12,0
ele,629,119,0,0,0
ele,630,91,0,0,0
ele,631,117,0,0,0
ele,632,103,0,0,0
ele,633,139,0,14,0
ele,634,5381,0,0,0
ele,635,93,0,0,0
ele,636,83,0,0,0
ele,637,79,0,0,0
ele,638,83,0,0,0
ele,639,97,0,0,0
ele,640,143,0,14,0
ele,641,117,0,0,0
ele,642,109,0,0,0
ele,643,117,0,0,0
ele,644,113,0,0,0
ele,645,121,0,0,0
ele,646,129,0,0,0
ele,647,139,0,0,0
ele,648,121,0,0,0
ele,649,221,0,8,0
ele,650,119,0,10,0
ele,651,69,0,0,0
ele,652,133,0,0,0
ele,653,213,0,0,0
ele,654,91,0,0,0
ele,655,143,0,0,0
ele,656,143,0,12,0
ele,657,157,0,10,0
ele,658,87,0,0,0
ele,659,135,0,0,0
ele,660,123,0,0,0
